Context;Reference;hu
Report;!=;!=
Report;# of % selected;A kiválasztott % darabszáma
Report;(filtered from _MAX_);(szűrve _MAX_ közül)
Report;<;<
Report;<=;<=
Report;=;=
Report;>;>
Report;>=;>=
Report;A value is required for;Érték megadása kötelező ehhez:
Report;All;Mind
Report;All selected;Mind kiválasztva
Report;and;és
Report;Auto Fit columns;Oszlopok automatikus illesztése
Report;Auto Scroll enabled;Automatikus görgetés bekapcsolva
Report;Average of;Átlag:
Report;Back to top;Vissza a tetejére
Report;Between;Között
Report;Cancel;Mégse
Report;Cancelling report...;Jelentés megszakítása...
Report;Charts;Diagramok
Report;Clear selection;Kijelölés törlése
Report;Close;Bezárás
Report;Contains;Tartalmazza
Report;Contains all;Mindet tartalmazza
Report;Contains any;Bármelyiket tartalmazza
Report;Count Distinct of;Egyedi értékek száma:
Report;Count of;Darabszám:
Report;Decrement;Csökkentés
Report;Description;Leírás
Report;Display header footer;Fejléc és lábléc megjelenítése
Report;Display: Execution messages;Megjelenítés: Végrehajtási üzenetek
Report;Display: Execution messages;Megjelenítés: Végrehajtási üzenetek
Report;Display: Information messages;Megjelenítés: Tájékoztató üzenetek
Report;Display: Information messages;Megjelenítés: Tájékoztató üzenetek
Report;Does not contain;Nem tartalmazza
Report;Does not contain all;Nem tartalmazza mindet
Report;Does not contain any;Egyiket sem tartalmazza
Report;Drill <;Lefúrás <
Report;Drill >;Lefúrás >
Report;Duration;Időtartam
Report;Duration (seconds);Időtartam (másodperc)
Report;Email sent to '{0}';E-mail elküldve ide: '{0}'
Report;Ends with;Végződik
Report;Equals;Egyenlő
Report;Execute;Végrehajtás
Report;Executing report...;Jelentés végrehajtása...
Report;Execution date;Végrehajtás dátuma
Report;Execution duration;Végrehajtás időtartama
Report;execution messages;végrehajtási üzenetek
Report;Export messages...;Üzenetek exportálása...
Report;Filter:;Szűrő:
Report;Go to today;Ugrás a mai napra
Report;Goal;Cél
Report;Hide;Elrejtés
Report;HTML Print: Show messages;HTML nyomtatás: Üzenetek megjelenítése
Report;HTML Print: Show messages;HTML nyomtatás: Üzenetek megjelenítése
Report;HTML Print: Show report information;HTML nyomtatás: Jelentésinformációk megjelenítése
Report;HTML Print: Show report information;HTML nyomtatás: Jelentésinformációk megjelenítése
Report;HTML to PDF;HTML PDF-be
Report;Increment;Növelés
Report;Information;Információ
Report;Information panel enabled;Információs panel bekapcsolva
Report;Information panel enabled and shown;Információs panel bekapcsolva és megjelenítve
Report;Information panel hidden;Információs panel elrejtve
Report;Invalid date;Érvénytelen dátum
Report;Invalid numeric value;Érvénytelen számérték
Report;Is between;Tartományon belül van
Report;Is Blank;Üres
Report;Is different from;Eltér ettől
Report;Is empty;Üres
Report;Is greater or equal than;Nagyobb vagy egyenlő, mint
Report;Is greater than;Nagyobb, mint
Report;Is not between;Nincs a tartományon belül
Report;Is Not Blank;Nem üres
Report;Is not empty;Nem üres
Report;Is not Null;Nem Null
Report;Is Null;Null
Report;Is smaller or equal than;Kisebb vagy egyenlő, mint
Report;Is smaller than;Kisebb, mint
Report;Landscape;Fekvő
Report;Logs;Naplók
Report;Maximum of;Maximum:
Report;Messages;Üzenetek
Report;Messages panel enabled;Üzenetek panel bekapcsolva
Report;Messages panel enabled and shown;Üzenetek panel bekapcsolva és megjelenítve
Report;Messages panel enabled and shown only during execution;Üzenetek panel bekapcsolva és csak végrehajtás közben megjelenítve
Report;Messages panel hidden;Üzenetek panel elrejtve
Report;Minimum of;Minimum:
Report;Model;Modell
Report;Model loaded...;Modell betöltve...
Report;Models loaded...;Modellek betöltve...
Report;New report;Új jelentés
Report;Next Century;Következő évszázad
Report;Next Decade;Következő évtized
Report;Next Month;Következő hónap
Report;Next Year;Következő év
Report;No;Nem
Report;No records;Nincs rekord
Report;No records. The report output generation has been cancelled.;Nincs rekord. A jelentés kimenetének előállítása megszakadt.
Report;No reports;Nincs jelentés
Report;No rows;Nincsenek sorok
Report;Not Between;Nincs a tartományon belül
Report;Not Contains;Nem tartalmazza
Report;Now;Most
Report;Options;Beállítások
Report;or;vagy
Report;Page;Oldal
Report;"Page &p; of &P;";"&p; / &P; oldal"
Report;Page orientation;Oldal tájolása
Report;Page size;Oldalméret
Report;Pages;Oldalak
Report;Pick Hour;Óra kiválasztása
Report;Pick Minute;Perc kiválasztása
Report;Pick Second;Másodperc kiválasztása
Report;Please enter a value;Adjon meg egy értéket
Report;Please enter at least a value;Adjon meg legalább egy értéket
Report;Please find the report '{0}' in attachment.;A(z) '{0}' jelentést a mellékletben találja.
Report;Please find your authentication code;A hitelesítési kódját itt találja
Report;Please wait, the report result is being generated in another window;Kérjük, várjon, a jelentés eredménye egy másik ablakban készül
Report;Previous Century;Előző évszázad
Report;Previous Decade;Előző évtized
Report;Previous Month;Előző hónap
Report;Previous Year;Előző év
Report;Print: Page orientation;Nyomtatás: Oldal tájolása
Report;Print: Show logo;Nyomtatás: Logó megjelenítése
Report;Processing;Feldolgozás
Report;Processing...;Feldolgozás...
Report;Records;Rekordok
Report;Refresh;Frissítés
Report;Report;Jelentés
Report;Report description;Jelentés leírása
Report;Report has been cancelled;A jelentés megszakadt
Report;report information;jelentésinformációk
Report;report restrictions;jelentéskorlátozások
Report;Report result generated in '{0}';Jelentés eredménye létrehozva itt: '{0}'
Report;Report result options;Jelentés eredményének beállításai
Report;report result panel;jelentés eredménypanel
Report;Report summary;Jelentés összegzése
Report;Restrictions;Korlátozások
Report;Results;Eredmények
Report;Scale;Skála
Report;second;másodperc
Report;seconds;másodperc
Report;Select all;Mindet kijelöl
Report;Select Decade;Évtized kiválasztása
Report;Select Month;Hónap kiválasztása
Report;Select Time;Idő kiválasztása
Report;Select Year;Év kiválasztása
Report;Show;Megjelenítés
Report;Show _MENU_ reports;_MENU_ jelentés megjelenítése
Report;Show _MENU_ rows;_MENU_ sor megjelenítése
Report;Show messages;Üzenetek megjelenítése
Report;Show messages;Üzenetek megjelenítése
Report;Show report information;Jelentésinformációk megjelenítése
Report;Show report information;Jelentésinformációk megjelenítése
Report;Show/Hide Restrictions;Korlátozások megjelenítése/elrejtése
Report;Showing _START_ to _END_ of _TOTAL_;_START_–_END_ megjelenítése, összesen _TOTAL_
Report;Showing 0 to 0 of 0;0–0 megjelenítése, összesen 0
Report;Starting execution...;Végrehajtás indítása...
Report;Starts with;Kezdődik
Report;Subtotal;Részösszeg
Report;Sum of;Összeg:
Report;Summary;Összegzés
Report;Table of Contents;Tartalomjegyzék
Report;Tabs to show;Megjelenítendő fülek
Report;Task executed...;Feladat végrehajtva...
Report;Tasks executed...;Feladatok végrehajtva...
Report;The report has been generated.;A jelentés elkészült.
Report;This report has execution errors. Please check details in the Logs Files...;A jelentés végrehajtási hibákat tartalmaz. A részleteket a naplófájlokban ellenőrizze...
Report;ThisHour;EzAzÓra
Report;ThisMinute;EzAPerc
Report;ThisMonth;EzAHónap
Report;ThisQuarter;EzANegyedév
Report;ThisSemester;EzAFélév
Report;ThisWeek;EzAHét
Report;ThisYear;EzAzÉv
Report;Today;Ma
Report;Toggle Period;Időszak váltása
Report;Total;Összesen
Report;Use the date format '{0}' or one of the following keywords:;Használja a(z) '{0}' dátumformátumot vagy az alábbi kulcsszavak egyikét:
Report;View;Megtekintés
Report;View CSV Result;CSV eredmény megtekintése
Report;View Excel Converter Result;Excel konverter eredmény megtekintése
Report;View Excel Result;Excel eredmény megtekintése
Report;View HTML Print Result;HTML nyomtatási eredmény megtekintése
Report;View HTML Result;HTML eredmény megtekintése
Report;View HTML to PDF Result;HTML PDF-be eredmény megtekintése
Report;View Json Result;JSON eredmény megtekintése
Report;View PDF Converter Result;PDF konverter eredmény megtekintése
Report;View PDF Result;PDF eredmény megtekintése
Report;View report result file;Jelentés eredményfájljának megtekintése
Report;View Text Result;Szöveges eredmény megtekintése
Report;View XML Result;XML eredmény megtekintése
Report;Warning: The maximum number of records is reached;Figyelmeztetés: A rekordok maximális száma elérve
Report;Yes;Igen
Web;Add;Hozzáadás
Web;All;Mind
Web;Auto-Refresh (seconds);Automatikus frissítés (másodperc)
Web;Back to login with user name and password;Vissza a felhasználónévvel és jelszóval történő bejelentkezéshez
Web;BIN;Lomtár
Web;Cancel;Mégse
Web;Change password;Jelszó módosítása
Web;Change password;Jelszó módosítása
Web;Change your password;Jelszó módosítása
Web;Chart sort;Diagram rendezése
Web;Close;Bezárás
Web;Color;Szín
Web;Confirm your new password;Erősítse meg az új jelszavát
Web;Copy;Másolás
Web;Create in folder;Létrehozás mappában
Web;Create new folder;Új mappa létrehozása
Web;CSS Format;CSS formátum
Web;Culture;Kultúra
Web;Current password;Jelenlegi jelszó
Web;Cut;Kivágás
Web;Data source connections;Adatforrás-kapcsolatok
Web;Default view;Alapértelmezett nézet
Web;Delete;Törlés
Web;Delete folder;Mappa törlése
Web;Description;Leírás
Web;Device;Eszköz
Web;Disconnect;Leválasztás
Web;Display options;Megjelenítési beállítások
Web;Edit;Szerkesztés
Web;Edit entry;Bejegyzés szerkesztése
Web;Edition;Kiadás
Web;Email;E-mail
Web;Enter password;Adja meg a jelszót
Web;Enter user name;Adja meg a felhasználónevet
Web;Enter your current password;Adja meg a jelenlegi jelszavát
Web;Enter your new file name;Adja meg az új fájlnevet
Web;Enter your new password;Adja meg az új jelszavát
Web;Enter your security code;Adja meg a biztonsági kódját
Web;Enter your user identifier or email;Adja meg a felhasználói azonosítóját vagy e-mail-címét
Web;Error;Hiba
Web;Error: only files (and not reports) can be copied to this folder.;Hiba: csak fájlokat (jelentéseket nem) lehet ebbe a mappába másolni.
Web;Error: the destination file name contains invalid characters.;Hiba: a célfájl neve érvénytelen karaktereket tartalmaz.
Web;Error: the destination folder name contains invalid characters.;Hiba: a célmappa neve érvénytelen karaktereket tartalmaz.
Web;Export;Exportálás
Web;Folders;Mappák
Web;Forget your password ?;Elfelejtette a jelszavát?
Web;Groups;Csoportok
Web;Groups;Csoportok
Web;Height;Magasság
Web;Icon;Ikon
Web;Information;Információ
Web;Invalid security code;Érvénytelen biztonsági kód
Web;Invalid user name or password;Érvénytelen felhasználónév vagy jelszó
Web;Is dynamic;Dinamikus
Web;Last execution at;Utolsó végrehajtás ekkor
Web;Licensed to;Licenc tulajdonosa
Web;Login;Bejelentkezés
Web;Logins;Bejelentkezések
Web;Logout;Kijelentkezés
Web;Logout the user;Felhasználó kijelentkeztetése
Web;Manage Folders;Mappák kezelése
Web;Name;Név
Web;New;Új
Web;New folder name;Új mappa neve
Web;New folder path;Új mappa elérési útja
Web;New password;Új jelszó
Web;None;Nincs
Web;OK;OK
Web;On startup;Indításkor
Web;Optional chart title;Választható diagramcím
Web;Optional menu name;Választható menünév
Web;Output;Kimenet
Web;Password;Jelszó
Web;Paste;Beillesztés
Web;PDF Conversion delay;PDF-konverzió késleltetése
Web;Personal;Személyes
Web;Phone;Telefon
Web;Please wait;Kérjük, várjon
Web;Profile;Profil
Web;Profile information;Profilinformációk
Web;Refresh;Frissítés
Web;Re-init your password;Jelszó újraindítása
Web;Reload and execute;Újratöltés és végrehajtás
Web;Rename;Átnevezés
Web;Rename or move folder;Mappa átnevezése vagy áthelyezése
Web;Rename, move or copy;Átnevezés, áthelyezés vagy másolás
Web;Report;Jelentés
Web;Report execution mode;Jelentés végrehajtási módja
Web;Report name;Jelentés neve
Web;Report title;Jelentés címe
Web;Report title if different from report name;Jelentés címe, ha eltér a jelentés nevétől
Web;Reports;Jelentések
Web;Reports menu;Jelentések menü
Web;Repository connection;Tárház-kapcsolat
Web;Reset password;Jelszó visszaállítása
Web;Reset your password;Jelszó visszaállítása
Web;Save;Mentés
Web;Search;Keresés
Web;Security code;Biztonsági kód
Web;Startup report name;Indítási jelentés neve
Web;The favorite has been updated;A kedvenc frissítve lett
