Context;Reference;zh
Report;!=;！=
Report;# of % selected;# of % selected
Report;(filtered from _MAX_);（从 _MAX_ 条记录中筛选）
Report;<;<
Report;<=;<=
Report;=;=
Report;>;>
Report;>=;>=
Report;A value is required for;需要一个值
Report;All;全部
Report;All selected;全部选定
Report;and;and
Report;Auto Fit columns;自动调整列宽
Report;Auto Scroll enabled;自动滚动已启用
Report;Average of;平均
Report;Back to top;返回顶部
Report;Between;Between
Report;Cancel;取消
Report;Cancelling report...;正在取消报告…
Report;Charts;图表
Report;Clear selection;清除选择
Report;Close;关闭
Report;Contains;包含
Report;Contains all;包含全部
Report;Contains any;包含任意
Report;Count Distinct of;非重复计数：
Report;Count of;的计数
Report;Decrement;减少
Report;Description;说明
Report;Display header footer;显示页眉页脚
Report;Display: Execution messages;显示：执行消息
Report;Display: Execution messages;显示：执行消息
Report;Display: Information messages;显示：信息消息
Report;Display: Information messages;显示：信息消息
Report;Does not contain;不包含
Report;Does not contain all;不包含全部
Report;Does not contain any;不包含任意
Report;Drill <;Drill <
Report;Drill >;Drill >
Report;Duration;持续时间
Report;Duration (seconds);持续时间（秒）
Report;Email sent to '{0}';已发送邮件至 '{0}'
Report;Ends with;以结尾
Report;Equals;等于
Report;Execute;执行
Report;Executing report...;正在执行报告…
Report;Execution date;执行日期
Report;Execution duration;执行持续时间
Report;execution messages;执行消息
Report;Export messages...;导出邮件…
Report;Filter:;过滤器：
Report;Go to today;转到今天
Report;Goal;目标
Report;Hide;隐藏
Report;HTML Print: Show messages;HTML 打印：显示消息
Report;HTML Print: Show messages;HTML 打印：显示消息
Report;HTML Print: Show report information;HTML 打印：显示报表信息
Report;HTML Print: Show report information;HTML 打印：显示报表信息
Report;HTML to PDF;HTML 转 PDF
Report;Increment;增加
Report;Information panel enabled;已启用信息面板
Report;Information panel enabled and shown;信息面板已启用并显示
Report;Information panel hidden;信息面板已隐藏
Report;Invalid date;无效日期
Report;Invalid numeric value;无效的数值
Report;Is between;介于
Report;Is Blank;为空白
Report;Is different from;不同于
Report;Is empty;是空的
Report;Is greater or equal than;大于或等于
Report;Is greater than;大于
Report;Is not between;不是介于
Report;Is Not Blank;不为空白
Report;Is not empty;不是空的
Report;Is not Null;不为空
Report;Is Null;为空
Report;Is smaller or equal than;小于或等于
Report;Is smaller than;小于
Report;Landscape;横向
Report;Logs;日志
Report;Maximum of;最大值
Report;Messages panel enabled;已启用消息面板
Report;Messages panel enabled and shown;消息面板已启用并显示
Report;Messages panel enabled and shown only during execution;消息面板已启用，仅在执行期间显示
Report;Messages panel hidden;消息面板已隐藏
Report;Minimum of;最小值
Report;Model;模型
Report;Model loaded...;模型已加载…
Report;Models loaded...;模型已加载…
Report;New report;新建报告
Report;Next Century;下一世纪
Report;Next Decade;下一个十年
Report;Next Month;下个月
Report;Next Year;明年
Report;No;否
Report;No records;没有记录
Report;No records. The report output generation has been cancelled.;没有记录。报告输出生成已取消。
Report;No reports;没有报告
Report;No rows;没有行
Report;Not Between;不介于
Report;Not Contains;不包含
Report;Now;现在
Report;Options;选项
Report;or;或
Report;Page;第页
Report;"Page &p; of &P;";"第 &p; 页，共 &P; 页"
Report;Page orientation;页面方向
Report;Page size;页面大小
Report;Pages;页
Report;Pick Hour;选择小时
Report;Pick Minute;选择分钟
Report;Pick Second;选择秒
Report;Please enter a value;请输入一个值
Report;Please enter at least a value;请至少输入一个值
Report;Please find the report '{0}' in attachment.;请在附件中查阅报表 '{0}'。
Report;Please find your authentication code;请查阅您的身份验证码
Report;Please wait, the report result is being generated in another window;请稍候，报表结果正在另一个窗口中生成
Report;Previous Century;上一世纪
Report;Previous Decade;上一个十年
Report;Previous Month;上个月
Report;Previous Year;去年
Report;Print: Page orientation;打印：页面方向
Report;Print: Show logo;打印：显示徽标
Report;Processing;处理
Report;Processing...;处理。。。
Report;Records;记录
Report;Refresh;刷新
Report;Report;报告
Report;Report description;报表说明
Report;Report has been cancelled;报告已取消
Report;report information;报告信息
Report;report restrictions;报告限制
