Context;Reference;fi
Report;!=;!=
Report;# of % selected;# / % valittu
Report;(filtered from _MAX_);(suodatettu _MAX_:sta)
Report;<;<
Report;<=;<=
Report;=;=
Report;>;>
Report;>=;>=
Report;A value is required for;Arvo vaaditaan kentälle
Report;All;Kaikki
Report;All selected;Kaikki valittu
Report;and;ja
Report;Auto Fit columns;Sovita sarakkeet automaattisesti
Report;Auto Scroll enabled;Automaattinen vieritys käytössä
Report;Average of;Keskiarvo
Report;Back to top;Takaisin ylös
Report;Between;Välillä
Report;Cancel;Peruuta
Report;Cancelling report...;Peruutetaan raporttia...
Report;Charts;Kaaviot
Report;Clear selection;Tyhjennä valinta
Report;Close;Sulje
Report;Contains;Sisältää
Report;Contains all;Sisältää kaikki
Report;Contains any;Sisältää minkä tahansa
Report;Count Distinct of;Erilliset arvot
Report;Count of;Lukumäärä
Report;Decrement;Vähennä
Report;Description;Kuvaus
Report;Display header footer;Näytä ylä- ja alatunniste
Report;Display: Execution messages;Näytä: Suoritusviestit
Report;Display: Execution messages;Näytä: Suoritusviestit
Report;Display: Information messages;Näytä: Tiedotusviestit
Report;Display: Information messages;Näytä: Tiedotusviestit
Report;Does not contain;Ei sisällä
Report;Does not contain all;Ei sisällä kaikkia
Report;Does not contain any;Ei sisällä mitään
Report;Drill <;Poraudu <
Report;Drill >;Poraudu >
Report;Duration;Kesto
Report;Duration (seconds);Kesto (sekuntia)
Report;Email sent to '{0}';Sähköposti lähetetty osoitteeseen '{0}'
Report;Ends with;Päättyy
Report;Equals;Yhtä suuri kuin
Report;Execute;Suorita
Report;Executing report...;Suoritetaan raporttia...
Report;Execution date;Suorituspäivä
Report;Execution duration;Suorituksen kesto
Report;execution messages;suoritusviestit
Report;Export messages...;Vie viestit...
Report;Filter:;Suodatin:
Report;Go to today;Siirry tähän päivään
Report;Goal;Tavoite
Report;Hide;Piilota
Report;HTML Print: Show messages;HTML-tulostus: Näytä viestit
Report;HTML Print: Show messages;HTML-tulostus: Näytä viestit
Report;HTML Print: Show report information;HTML-tulostus: Näytä raportin tiedot
Report;HTML Print: Show report information;HTML-tulostus: Näytä raportin tiedot
Report;HTML to PDF;HTML PDF:ksi
Report;Increment;Lisää
Report;Information;Tiedot
Report;Information panel enabled;Tietopaneeli käytössä
Report;Information panel enabled and shown;Tietopaneeli käytössä ja näkyvissä
Report;Information panel hidden;Tietopaneeli piilotettu
Report;Invalid date;Virheellinen päivämäärä
Report;Invalid numeric value;Virheellinen numeerinen arvo
Report;Is between;On välillä
Report;Is Blank;On tyhjä
Report;Is different from;Eroaa arvosta
Report;Is empty;On tyhjä
Report;Is greater or equal than;On suurempi tai yhtä suuri kuin
Report;Is greater than;On suurempi kuin
Report;Is not between;Ei ole välillä
Report;Is Not Blank;Ei ole tyhjä
Report;Is not empty;Ei ole tyhjä
Report;Is not Null;Ei ole Null
Report;Is Null;On Null
Report;Is smaller or equal than;On pienempi tai yhtä suuri kuin
Report;Is smaller than;On pienempi kuin
Report;Landscape;Vaaka
Report;Logs;Lokit
Report;Maximum of;Maksimi
Report;Messages;Viestit
Report;Messages panel enabled;Viestipaneeli käytössä
Report;Messages panel enabled and shown;Viestipaneeli käytössä ja näkyvissä
Report;Messages panel enabled and shown only during execution;Viestipaneeli käytössä ja näkyvissä vain suorituksen aikana
Report;Messages panel hidden;Viestipaneeli piilotettu
Report;Minimum of;Minimi
Report;Model;Malli
Report;Model loaded...;Malli ladattu...
Report;Models loaded...;Mallit ladattu...
Report;New report;Uusi raportti
Report;Next Century;Seuraava vuosisata
Report;Next Decade;Seuraava vuosikymmen
Report;Next Month;Seuraava kuukausi
Report;Next Year;Seuraava vuosi
Report;No;Ei
Report;No records;Ei tietueita
Report;No records. The report output generation has been cancelled.;Ei tietueita. Raportin tulosteen luonti on peruutettu.
Report;No reports;Ei raportteja
Report;No rows;Ei rivejä
Report;Not Between;Ei välillä
Report;Not Contains;Ei sisällä
Report;Now;Nyt
Report;Options;Asetukset
Report;or;tai
Report;Page;Sivu
Report;"Page &p; of &P;";"Sivu &p; / &P;"
Report;Page orientation;Sivun suunta
Report;Page size;Sivun koko
Report;Pages;Sivut
Report;Pick Hour;Valitse tunti
Report;Pick Minute;Valitse minuutti
Report;Pick Second;Valitse sekunti
Report;Please enter a value;Anna arvo
Report;Please enter at least a value;Anna vähintään yksi arvo
Report;Please find the report '{0}' in attachment.;Raportti '{0}' on liitteenä.
Report;Please find your authentication code;Tässä on todennuskoodisi
Report;Please wait, the report result is being generated in another window;Odota, raportin tulosta luodaan toisessa ikkunassa
Report;Previous Century;Edellinen vuosisata
Report;Previous Decade;Edellinen vuosikymmen
Report;Previous Month;Edellinen kuukausi
Report;Previous Year;Edellinen vuosi
Report;Print: Page orientation;Tulostus: Sivun suunta
Report;Print: Show logo;Tulostus: Näytä logo
Report;Processing;Käsitellään
Report;Processing...;Käsitellään...
Report;Records;Tietueet
Report;Refresh;Päivitä
Report;Report;Raportti
Report;Report description;Raportin kuvaus
Report;Report has been cancelled;Raportti on peruutettu
Report;report information;raportin tiedot
Report;report restrictions;raportin rajoitukset
Report;Report result generated in '{0}';Raportin tulos luotu kohteeseen '{0}'
Report;Report result options;Raportin tuloksen asetukset
Report;report result panel;raportin tulospaneeli
Report;Report summary;Raportin yhteenveto
Report;Restrictions;Rajoitukset
Report;Results;Tulokset
Report;Scale;Asteikko
Report;second;sekunti
Report;seconds;sekuntia
Report;Select all;Valitse kaikki
Report;Select Decade;Valitse vuosikymmen
Report;Select Month;Valitse kuukausi
Report;Select Time;Valitse aika
Report;Select Year;Valitse vuosi
Report;Show;Näytä
Report;Show _MENU_ reports;Näytä _MENU_ raporttia
Report;Show _MENU_ rows;Näytä _MENU_ riviä
Report;Show messages;Näytä viestit
Report;Show messages;Näytä viestit
Report;Show report information;Näytä raportin tiedot
Report;Show report information;Näytä raportin tiedot
Report;Show/Hide Restrictions;Näytä/piilota rajoitukset
Report;Showing _START_ to _END_ of _TOTAL_;Näytetään _START_–_END_ / _TOTAL_
Report;Showing 0 to 0 of 0;Näytetään 0–0 / 0
Report;Starting execution...;Aloitetaan suoritusta...
Report;Starts with;Alkaa
Report;Subtotal;Välisumma
Report;Sum of;Summa
Report;Summary;Yhteenveto
Report;Table of Contents;Sisällysluettelo
Report;Tabs to show;Näytettävät välilehdet
Report;Task executed...;Tehtävä suoritettu...
Report;Tasks executed...;Tehtävät suoritettu...
Report;The report has been generated.;Raportti on luotu.
Report;This report has execution errors. Please check details in the Logs Files...;Tässä raportissa on suoritusvirheitä. Tarkista tiedot lokitiedostoista...
Report;ThisHour;TämäTunti
Report;ThisMinute;TämäMinuutti
Report;ThisMonth;TämäKuukausi
Report;ThisQuarter;TämäVuosineljännes
Report;ThisSemester;TämäVuosipuolisko
Report;ThisWeek;TämäViikko
Report;ThisYear;TämäVuosi
Report;Today;Tänään
Report;Toggle Period;Vaihda jakso
Report;Total;Yhteensä
Report;Use the date format '{0}' or one of the following keywords:;Käytä päivämäärämuotoa '{0}' tai jotakin seuraavista avainsanoista:
Report;View;Näytä
Report;View CSV Result;Näytä CSV-tulos
Report;View Excel Converter Result;Näytä Excel-muuntimen tulos
Report;View Excel Result;Näytä Excel-tulos
Report;View HTML Print Result;Näytä HTML-tulostustulos
Report;View HTML Result;Näytä HTML-tulos
Report;View HTML to PDF Result;Näytä HTML PDF:ksi -tulos
Report;View Json Result;Näytä JSON-tulos
Report;View PDF Converter Result;Näytä PDF-muuntimen tulos
Report;View PDF Result;Näytä PDF-tulos
Report;View report result file;Näytä raportin tulostiedosto
Report;View Text Result;Näytä tekstitulos
Report;View XML Result;Näytä XML-tulos
Report;Warning: The maximum number of records is reached;Varoitus: Tietueiden enimmäismäärä on saavutettu
Report;Yes;Kyllä
Web;Add;Lisää
Web;All;Kaikki
Web;Auto-Refresh (seconds);Automaattinen päivitys (sekuntia)
